,name,style,ounces,brewery_name,city,state
187,Sculpin IPA,American IPA,12.0,Ballast Point Brewing Company,San Diego, CA
188,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,Banner Beer Company,Williamsburg, MA
189,Banner American Rye,Rye Beer,12.0,Banner Beer Company,Williamsburg, MA
190,Banner American Ale,American Amber / Red Ale,12.0,Banner Beer Company,Williamsburg, MA
191,Thai.p.a,American IPA,16.0,Bare Hands Brewery,Granger, IN
192,Barrio Blanco,American IPA,12.0,Barrio Brewing Company,Tucson, AZ
193,Barrio Tucson Blonde,American Blonde Ale,12.0,Barrio Brewing Company,Tucson, AZ
194,Hop in the ‘Pool Helles,American Pilsner,12.0,Base Camp Brewing Co.,Portland, OR
195,Ultra Gnar Gnar IPA,American IPA,12.0,Base Camp Brewing Co.,Portland, OR
196,In-Tents India Pale Lager,American Pale Lager,12.0,Base Camp Brewing Co.,Portland, OR
197,Lost Meridian Wit,Witbier,12.0,Base Camp Brewing Co.,Portland, OR
198,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,Base Camp Brewing Co.,Portland, OR
199,Wagon Party,California Common / Steam Beer,12.0,Bauhaus Brew Labs,Minneapolis, MN
200,Sky-Five,American IPA,12.0,Bauhaus Brew Labs,Minneapolis, MN
201,Stargrazer,Schwarzbier,12.0,Bauhaus Brew Labs,Minneapolis, MN
202,Wonderstuff,German Pilsener,12.0,Bauhaus Brew Labs,Minneapolis, MN
203,Tarnation California-Style Lager,California Common / Steam Beer,12.0,Baxter Brewing Company,Lewiston, ME
204,On the Count of 3 (2015),Hefeweizen,16.0,Baxter Brewing Company,Lewiston, ME
205,Summer Swelter,American Pale Wheat Ale,12.0,Baxter Brewing Company,Lewiston, ME
206,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,Baxter Brewing Company,Lewiston, ME
207,Hayride Autumn Ale,Rye Beer,12.0,Baxter Brewing Company,Lewiston, ME
208,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,Baxter Brewing Company,Lewiston, ME
209,Amber Road,American Amber / Red Ale,12.0,Baxter Brewing Company,Lewiston, ME
210,Pamola Xtra Pale Ale,American Pale Ale (APA),12.0,Baxter Brewing Company,Lewiston, ME
211,Stowaway IPA,American IPA,12.0,Baxter Brewing Company,Lewiston, ME
212,Hoptopus Double IPA,American Double / Imperial IPA,16.0,Beach Brewing Company,Virginia Beach, VA
213,Watermelon Ale,Fruit / Vegetable Beer,12.0,Beer Works Brewery,Lowell, MA
214,Fenway American Pale Ale,American Pale Ale (APA),12.0,Beer Works Brewery,Lowell, MA
215,Back Bay IPA,American IPA,12.0,Beer Works Brewery,Lowell, MA
216,Bunker Hill Blueberry Ale ,Other,12.0,Beer Works Brewery,Lowell, MA
217,Oberon,American Pale Wheat Ale,12.0,Bell's Brewery,Kalamazoo, MI
218,Smitten,Rye Beer,16.0,Bell's Brewery,Kalamazoo, MI
219,Winter White,Witbier,16.0,Bell's Brewery,Kalamazoo, MI
220,Oberon,American Pale Wheat Ale,16.0,Bell's Brewery,Kalamazoo, MI
221,Two Hearted,American IPA,16.0,Bell's Brewery,Kalamazoo, MI
222,Best Brown,American Brown Ale,16.0,Bell's Brewery,Kalamazoo, MI
223,Moar,English India Pale Ale (IPA),12.0,Bent Brewstillery,Roseville, MN
224,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0,Bent Brewstillery,Roseville, MN
225,Nordic Blonde,American Blonde Ale,12.0,Bent Brewstillery,Roseville, MN
226,Cold Press,American Black Ale,12.0,Bent Paddle Brewing Company,Duluth, MN
227,Harness the Winter,American IPA,12.0,Bent Paddle Brewing Company,Duluth, MN
228,14° ESB ,Extra Special / Strong Bitter (ESB),12.0,Bent Paddle Brewing Company,Duluth, MN
229,Bent Hop Golden IPA,American IPA,12.0,Bent Paddle Brewing Company,Duluth, MN
230,Bent Paddle Black Ale,American Black Ale,12.0,Bent Paddle Brewing Company,Duluth, MN
231,Venture Pils,German Pilsener,12.0,Bent Paddle Brewing Company,Duluth, MN
232,Lost Sailor IPA,English India Pale Ale (IPA),12.0,Berkshire Brewing Company,South Deerfield, MA
233,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0,Berkshire Brewing Company,South Deerfield, MA
234,La Frontera Premium IPA,American IPA,12.0,Big Bend Brewing Company,Alpine, TX
235,Tejas Lager,Czech Pilsener,12.0,Big Bend Brewing Company,Alpine, TX
236,Number 22 Porter,American Porter,12.0,Big Bend Brewing Company,Alpine, TX
237,Big Bend Hefeweizen,Hefeweizen,12.0,Big Bend Brewing Company,Alpine, TX
238,Terlingua Gold,American Blonde Ale,12.0,Big Bend Brewing Company,Alpine, TX
239,Aprè Shred,American Strong Ale,16.0,Big Choice Brewing,Broomfield, CO
240,Hemlock Double IPA,American Double / Imperial IPA,12.0,Big Choice Brewing,Broomfield, CO
241,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16.0,Big Choice Brewing,Broomfield, CO
242,Disconnected Red,American Amber / Red Ale,16.0,Big Choice Brewing,Broomfield, CO
243,Big Elm IPA,American IPA,12.0,Big Elm Brewing,Sheffield, MA
244,Gerry Dog Stout,American Stout,12.0,Big Elm Brewing,Sheffield, MA
245,413 Farmhouse Ale,Saison / Farmhouse Ale,12.0,Big Elm Brewing,Sheffield, MA
246,Dark Star,American Stout,16.0,Big Lake Brewing,Holland, MI
247,Ryecoe,American IPA,16.0,Big Lake Brewing,Holland, MI
248,Blueberry Blonde,Fruit / Vegetable Beer,12.0,Big Muddy Brewing,Murphysboro, IL
249,Galaxy IPA,American IPA,16.0,Big Muddy Brewing,Murphysboro, IL
250,Big River Pilsner,Czech Pilsener,12.0,Big River Brewing Company,Chattanooga, TN
251,House Brand IPA,American IPA,12.0,Big River Brewing Company,Chattanooga, TN
252,Big Sky IPA,American IPA,12.0,Big Sky Brewing Company,Missoula, MT
253,Scape Goat Pale Ale,English Pale Ale,12.0,Big Sky Brewing Company,Missoula, MT
254,Montana Trout Slayer Ale,American Pale Wheat Ale,12.0,Big Sky Brewing Company,Missoula, MT
255,Moose Drool Brown Ale,American Brown Ale,12.0,Big Sky Brewing Company,Missoula, MT
256,Powder Hound Winter Ale,English Strong Ale,12.0,Big Sky Brewing Company,Missoula, MT
257,Moose Drool Brown Ale (2011),American Brown Ale,12.0,Big Sky Brewing Company,Missoula, MT
258,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,12.0,Big Sky Brewing Company,Missoula, MT
259,Big Sky IPA (2012),American IPA,12.0,Big Sky Brewing Company,Missoula, MT
260,Summer Honey,American Blonde Ale,12.0,Big Sky Brewing Company,Missoula, MT
261,Scape Goat Pale Ale (2010),English Pale Ale,12.0,Big Sky Brewing Company,Missoula, MT
262,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12.0,Big Sky Brewing Company,Missoula, MT
263,Moose Drool Brown Ale (2009),American Brown Ale,12.0,Big Sky Brewing Company,Missoula, MT
264,Arcus IPA,American IPA,12.0,Big Storm Brewing Company,Odessa, FL
265,Wavemaker,American Amber / Red Ale,12.0,Big Storm Brewing Company,Odessa, FL
266,Jack Pine Savage,American Pale Ale (APA),16.0,Big Wood Brewery,Vadnais Heights, MN
267,Forest Fire Imperial Smoked Rye,Rye Beer,16.0,Big Wood Brewery,Vadnais Heights, MN
268,Bad Axe Imperial IPA,American Double / Imperial IPA,16.0,Big Wood Brewery,Vadnais Heights, MN
269,Morning Wood,Oatmeal Stout,16.0,Big Wood Brewery,Vadnais Heights, MN
270,Bark Bite IPA,American IPA,16.0,Big Wood Brewery,Vadnais Heights, MN
271,Jalapeno Pale Ale,American Pale Ale (APA),16.0,Birdsong Brewing Company,Charlotte, NC
272,Blown Out Brown,American Brown Ale,12.0,Bitter Root Brewing,Hamilton, MT
273,Single Hop Ale,American Pale Ale (APA),12.0,Bitter Root Brewing,Hamilton, MT
274,Sawtooth Ale,American Blonde Ale,12.0,Bitter Root Brewing,Hamilton, MT
275,Saucy Intruder,Rye Beer,16.0,Black Acre Brewing Co.,Indianapolis, IN
276,Deception,American Blonde Ale,12.0,Black Market Brewing Company,Temecula, CA
277,Blackmarket Rye IPA,American IPA,12.0,Black Market Brewing Company,Temecula, CA
278,Black Market Hefeweizen,Hefeweizen,12.0,Black Market Brewing Company,Temecula, CA
279,Aftermath Pale Ale,American Pale Ale (APA),12.0,Black Market Brewing Company,Temecula, CA
280,American India Red Ale,American Strong Ale,12.0,Black Shirt Brewing Company,Denver, CO
281,American Red Porter,American Porter,12.0,Black Shirt Brewing Company,Denver, CO
282,American Red Saison,Saison / Farmhouse Ale,12.0,Black Shirt Brewing Company,Denver, CO
283,Colorado Red Ale,American Amber / Red Ale,12.0,Black Shirt Brewing Company,Denver, CO
284,Saddle Bronc Brown Ale,American Brown Ale,12.0,Black Tooth Brewing Company,Sheridan, WY
285,Bomber Mountain Amber Ale,American Amber / Red Ale,12.0,Black Tooth Brewing Company,Sheridan, WY
286,Flying Sailor,Rye Beer,12.0,Blackrocks Brewery,Marquette, MA
287,Nordskye ,American IPA,12.0,Blackrocks Brewery,Marquette, MI
288,North Third Stout,Foreign / Export Stout,12.0,Blackrocks Brewery,Marquette, MI
289,Honey Lav,American Pale Wheat Ale,12.0,Blackrocks Brewery,Marquette, MI
290,Coconut Brown Ale,American Brown Ale,12.0,Blackrocks Brewery,Marquette, MI
291,51K IPA,American IPA,12.0,Blackrocks Brewery,Marquette, MI
292,Grand Rabbits,Cream Ale,12.0,Blackrocks Brewery,Marquette, MI
293,1800 Big Log Wheat (2012),American Pale Wheat Ale,12.0,Blue Blood Brewing Company,Lincoln, NE
294,Double Play Pilsner,American Pilsner,12.0,Blue Blood Brewing Company,Lincoln, NE
295,Brewerhood Brown Ale,American Brown Ale,12.0,Blue Blood Brewing Company,Lincoln, NE
296,Last Call Imperial Amber Ale,American Amber / Red Ale,12.0,Blue Blood Brewing Company,Lincoln, NE
297,Pernicious Double IPA,American Double / Imperial IPA,12.0,Blue Blood Brewing Company,Lincoln, NE
298,6-4-3 Double Play Pilsner,German Pilsener,12.0,Blue Blood Brewing Company,Lincoln, NE
299,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,12.0,Blue Blood Brewing Company,Lincoln, NE
300,467 Ethan's Stout,American Stout,12.0,Blue Blood Brewing Company,Lincoln, NE
301,1335 Wicked Snout,Saison / Farmhouse Ale,12.0,Blue Blood Brewing Company,Lincoln, NE
302,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12.0,Blue Blood Brewing Company,Lincoln, NE
303,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Blood Brewing Company,Lincoln, NE
304,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Blood Brewing Company,Lincoln, NE
305,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,Blue Blood Brewing Company,Lincoln, NE
306,834 Happy As Ale,American Pale Ale (APA),12.0,Blue Blood Brewing Company,Lincoln, NE
307,Yellow Collar,Mead,12.0,Blue Dog Mead,Eugene, OR
308,Green Collar,Mead,12.0,Blue Dog Mead,Eugene, OR
309,Quarter Mile Double IPA,American Double / Imperial IPA,12.0,Blue Hills Brewery,Canton, MA
