name,style,ounces,brewery_name,city,state
Topcutter India Pale Ale,India Pale Ale,12.0,Bale Breaker Brewing Company,Yakima,WA
Field 41 Pale Ale,Pale Ale,12.0,Bale Breaker Brewing Company,Yakima,WA
Grapefruit Sculpin,India Pale Ale,12.0,Ballast Point Brewing Company,San Diego,CA
Even Keel,India Pale Ale,12.0,Ballast Point Brewing Company,San Diego,CA
Ballast Point Pale Ale,Others,12.0,Ballast Point Brewing Company,San Diego,CA
Big Eye India Pale Ale,India Pale Ale,12.0,Ballast Point Brewing Company,San Diego,CA
Longfin Lager,Others,12.0,Ballast Point Brewing Company,San Diego,CA
Sculpin IPA,India Pale Ale,12.0,Ballast Point Brewing Company,San Diego,CA
All Nighter Ale,British-Style Bitter,12.0,Banner Beer Company,Williamsburg,MA
Banner American Rye,Others,12.0,Banner Beer Company,Williamsburg,MA
Banner American Ale,Amber / Red Ale,12.0,Banner Beer Company,Williamsburg,MA
Thai.p.a,India Pale Ale,16.0,Bare Hands Brewery,Granger,IN
Barrio Blanco,India Pale Ale,12.0,Barrio Brewing Company,Tucson,AZ
Barrio Tucson Blonde,Blonde Ale,12.0,Barrio Brewing Company,Tucson,AZ
Hop in the ‘Pool Helles,Pilsner,12.0,Base Camp Brewing Co.,Portland,OR
Ultra Gnar Gnar IPA,India Pale Ale,12.0,Base Camp Brewing Co.,Portland,OR
In-Tents India Pale Lager,Others,12.0,Base Camp Brewing Co.,Portland,OR
Lost Meridian Wit,Witbier,12.0,Base Camp Brewing Co.,Portland,OR
Celestial Meridian Cascadian Dark Lager,Dark Lager,12.0,Base Camp Brewing Co.,Portland,OR
Wagon Party,Others,12.0,Bauhaus Brew Labs,Minneapolis,MN
Sky-Five,India Pale Ale,12.0,Bauhaus Brew Labs,Minneapolis,MN
Stargrazer,Schwarzbier,12.0,Bauhaus Brew Labs,Minneapolis,MN
Wonderstuff,Pilsner,12.0,Bauhaus Brew Labs,Minneapolis,MN
Tarnation California-Style Lager,Others,12.0,Baxter Brewing Company,Lewiston,ME
On the Count of 3 (2015),Hefeweizen,16.0,Baxter Brewing Company,Lewiston,ME
Summer Swelter,Wheat Ale,12.0,Baxter Brewing Company,Lewiston,ME
Phantom Punch Winter Stout,Others,12.0,Baxter Brewing Company,Lewiston,ME
Hayride Autumn Ale,Others,12.0,Baxter Brewing Company,Lewiston,ME
Celsius Summer Ale (2012),Wheat Ale,12.0,Baxter Brewing Company,Lewiston,ME
Amber Road,Amber / Red Ale,12.0,Baxter Brewing Company,Lewiston,ME
Pamola Xtra Pale Ale,Pale Ale,12.0,Baxter Brewing Company,Lewiston,ME
Stowaway IPA,India Pale Ale,12.0,Baxter Brewing Company,Lewiston,ME
Hoptopus Double IPA,Double / Imperial IPA,16.0,Beach Brewing Company,Virginia Beach,VA
Watermelon Ale,Others,12.0,Beer Works Brewery,Lowell,MA
Fenway American Pale Ale,Pale Ale,12.0,Beer Works Brewery,Lowell,MA
Back Bay IPA,India Pale Ale,12.0,Beer Works Brewery,Lowell,MA
Bunker Hill Blueberry Ale ,Others,12.0,Beer Works Brewery,Lowell,MA
Oberon,Wheat Ale,12.0,Bell's Brewery,Kalamazoo,MI
Smitten,Others,16.0,Bell's Brewery,Kalamazoo,MI
Winter White,Witbier,16.0,Bell's Brewery,Kalamazoo,MI
