id,name,style,brewery_id,ounces,brewery_id,brewery_name,city,state
340,"Black Thunder",Schwarzbier,413,12,413,"Austin Beerworks",Austin," TX"
341,Pearl-Snap,"German Pilsener",413,12,413,"Austin Beerworks",Austin," TX"
342,Peacemaker,"American Pale Ale (APA)",413,12,413,"Austin Beerworks",Austin," TX"
343,"Fire Eagle IPA","American IPA",413,12,413,"Austin Beerworks",Austin," TX"
344,"Cherny Bock",Schwarzbier,364,12,364,"Bohemian Brewery",Midvale," UT"
345,"Upslope Brown Ale","English Brown Ale",51,12,51,"Upslope Brewing Company",Boulder," CO"
346,"Baltic Porter","Baltic Porter",522,16,522,"Uncommon Brewers","Santa Cruz"," CA"
347,"Golden State Ale","Belgian Pale Ale",522,16,522,"Uncommon Brewers","Santa Cruz"," CA"
348,"Skilak Scottish Ale (2011)","Scottish Ale",458,12,458,"Kenai River Brewing Company",Soldotna," AK"
349,"Sunken Island IPA","American IPA",458,12,458,"Kenai River Brewing Company",Soldotna," AK"
350,"Golden Wing Blonde Ale","American Blonde Ale",256,16,256,"Finch's Beer Company",Chicago," IL"
351,"Cut Throat Pale Ale (2011)","American Pale Ale (APA)",256,16,256,"Finch's Beer Company",Chicago," IL"
352,"Over Ale","American Brown Ale",327,16,327,"Half Acre Beer Company",Chicago," IL"
353,"Bitter American (2011)","American Pale Ale (APA)",368,12,368,"21st Amendment Brewery","San Francisco"," CA"
355,"Lumberyard IPA","American IPA",158,12,158,"Lumberyard Brewing Company",Flagstaff," AZ"
356,"Crazy Mountain Amber Ale","American Amber / Red Ale",63,12,63,"Crazy Mountain Brewing Company",Edwards," CO"
357,"2012 Black Ale","American Brown Ale",131,12,131,"Stevens Point Brewery","Stevens Point"," WI"
358,"Hop Knot IPA","American IPA",160,12,160,"Four Peaks Brewing Company",Tempe," AZ"
359,"Sankaty Light Lager","Light Lager",145,12,145,"Cisco Brewers",Nantucket," MA"
360,#9,"Fruit / Vegetable Beer",303,12,303,"Magic Hat Brewing Company","South Burlington"," VT"
361,"TailGate Hefeweizen",Hefeweizen,449,12,449,"TailGate Beer","San Diego"," CA"
362,"Blacktop Blonde","American Blonde Ale",449,12,449,"TailGate Beer","San Diego"," CA"
363,"Milkshake Stout","Milk / Sweet Stout",229,16,229,"Rochester Mills Brewing Company",Rochester," MI"
364,"Olde Ore Dock Scottish Ale","Scottish Ale",84,12,84,"Keweenaw Brewing Company",Houghton," MI"
365,"BRIK Irish Red Ale","Irish Red Ale",440,16,440,"MillKing It Productions","Royal Oak"," MI"
366,"Jack Stout","Oatmeal Stout",361,12,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
367,"Hop Ottin' IPA (2011)","American IPA",171,12,171,"Anderson Valley Brewing Company",Boonville," CA"
368,"Northern Lights India Pale Ale","American IPA",383,12,383,"Starr Hill Brewery",Crozet," VA"
369,Festie,"Märzen / Oktoberfest",383,12,383,"Starr Hill Brewery",Crozet," VA"
371,"Redband Stout","American Stout",365,16,365,"Great River Brewery",Davenport," IA"
379,"Heady Topper","American Double / Imperial IPA",272,16,272,"The Alchemist",Waterbury," VT"
381,"Upstate I.P.W.","American IPA",546,12,546,"Upstate Brewing Company",Elmira," NY"
382,"Common Sense Kentucky Common Ale","American Brown Ale",546,16,546,"Upstate Brewing Company",Elmira," NY"
383,"Black Adder IBA (Current)","American Black Ale",530,16,530,"Buckbean Brewing Company",Reno," NV"
384,Triomphe,"Belgian IPA",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
385,Solitude,"Belgian Pale Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
386,"Mexican Logger","American Pale Lager",264,12,264,"Ska Brewing Company",Durango," CO"
387,"Farm Hand","Saison / Farmhouse Ale",10,16,10,"Brewery Vivant","Grand Rapids"," MI"
388,"G'KNIGHT (12 oz.)","American Double / Imperial IPA",166,12,166,"Oskar Blues Brewery",Longmont," CO"
389,"Great Crescent Blonde Ale (2011)","American Blonde Ale",165,16,165,"Great Crescent Brewery",Aurora," IN"
390,Whitsun,"American Pale Wheat Ale",541,12,541,"Arcadia Brewing Company","Battle Creek"," MI"
391,"One Hit Wonder","American Double / Imperial IPA",166,12,166,"Oskar Blues Brewery",Longmont," CO"
392,"Rumspringa Golden Bock","Maibock / Helles Bock",545,12,545,"Lancaster Brewing Company",Lancaster," PA"
393,"Pako’s EyePA","American IPA",191,12,191,"Snake River Brewing Company",Jackson," WY"
394,"Johan the Barleywine","English Barleywine",25,16,25,"Sun King Brewing Company",Indianapolis," IN"
395,"Crank Yanker IPA (2011)","American IPA",369,16,369,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
397,"SummerBright Ale","American Pale Wheat Ale",391,12,391,"Breckenridge Brewery",Denver," CO"
398,"Wild Onion Summer Wit",Witbier,361,12,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
399,"Pyramid Hefeweizen (2011)",Hefeweizen,544,12,544,"Pyramid Breweries",Seattle," WA"
400,"Sierra Nevada Pale Ale","American Pale Ale (APA)",83,12,83,"Sierra Nevada Brewing Company",Chico," CA"
402,"Snake River Pale Ale","American Pale Ale (APA)",191,12,191,"Snake River Brewing Company",Jackson," WY"
403,"Narragansett Summer Ale","American Pale Wheat Ale",143,16,143,"Narragansett Brewing Company",Providence," RI"
406,"Snake River Lager","Vienna Lager",191,12,191,"Snake River Brewing Company",Jackson," WY"
407,"OB-1 Organic Ale","English Brown Ale",191,12,191,"Snake River Brewing Company",Jackson," WY"
408,"Sunny Haze",Hefeweizen,540,12,540,"Mother Earth Brewing Company",Kinston," NC"
409,"Oaky's Oatmeal Stout","Oatmeal Stout",542,16,542,"Angry Minnow Brewing Company",Hayward," WI"
410,"River Pig Pale Ale","American Pale Ale (APA)",542,16,542,"Angry Minnow Brewing Company",Hayward," WI"
412,"Halcyon Unfiltered Wheat","American Pale Wheat Ale",45,12,45,"Tallgrass Brewing Company",Manhattan," KS"
413,"Sky High Rye","American Pale Ale (APA)",541,12,541,"Arcadia Brewing Company","Battle Creek"," MI"
414,"Bottom Up Belgian Wit",Witbier,44,12,44,"Revolution Brewing Company",Chicago," IL"
415,"Anti-Hero IPA","American IPA",44,12,44,"Revolution Brewing Company",Chicago," IL"
416,"Eugene Porter","American Porter",44,12,44,"Revolution Brewing Company",Chicago," IL"
417,"Oktoberfest Revolution","Märzen / Oktoberfest",44,12,44,"Revolution Brewing Company",Chicago," IL"
418,"Fistmas Ale","Herbed / Spiced Beer",44,12,44,"Revolution Brewing Company",Chicago," IL"
419,"Second Wind Pale Ale","American Pale Ale (APA)",540,12,540,"Mother Earth Brewing Company",Kinston," NC"
420,"Washita Wheat","American Pale Wheat Ale",366,12,366,"Mustang Brewing Company",Mustang," OK"
421,"Mustang Golden Ale","American Blonde Ale",366,12,366,"Mustang Brewing Company",Mustang," OK"
